participant_id,fixation_id,x,y,preference
1,1,1454.2,713.5,WaferRoll
1,2,667.9,305.7,WaferRoll
1,3,1366.1,259.1,WaferRoll
1,4,1366.9,303.7,WaferRoll
1,5,447.3,814.7,WaferRoll
1,6,1396.6,689.8,WaferRoll
1,7,1673.8,757.2,WaferRoll
1,8,1522.3,769.6,WaferRoll
1,9,492.5,267.4,WaferRoll
2,1,1710.7,434.9,Caprice
2,2,535.9,172.5,Caprice
2,3,1543.3,28.4,Caprice
2,4,445.6,394.8,Caprice
2,5,1404.4,714.0,Caprice
2,6,581.2,696.3,Caprice
2,7,497.7,708.0,Caprice
2,8,1453.9,589.9,Caprice
2,9,533.2,739.3,Caprice
3,1,1805.9,411.2,Caprice
3,2,593.9,677.5,Caprice
3,3,1467.5,254.1,Caprice
3,4,600.7,311.7,Caprice
3,5,498.2,748.1,Caprice
3,6,510.1,594.1,Caprice
3,7,414.5,307.2,Caprice
3,8,1737.9,393.1,Caprice
3,9,517.6,270.5,Caprice
3,10,375.2,335.9,Caprice
4,1,524.0,342.1,Caprice
4,2,477.2,228.9,Caprice
4,3,1414.8,270.9,Caprice
4,4,1459.3,698.7,Caprice
4,5,609.2,371.4,Caprice
4,6,1372.6,329.7,Caprice
4,7,1471.9,303.2,Caprice
4,8,584.7,710.8,Caprice
4,9,1430.8,300.1,Caprice
5,1,527.1,285.9,WaferRoll
5,2,468.1,442.3,WaferRoll
5,3,1391.3,588.3,WaferRoll
5,4,1414.3,212.7,WaferRoll
5,5,1450.4,689.1,WaferRoll
5,6,1403.7,280.9,WaferRoll
5,7,1455.8,317.9,WaferRoll
5,8,580.2,399.2,WaferRoll
6,1,1502.0,370.0,Caprice
6,2,1718.4,361.2,Caprice
6,3,1530.4,258.6,Caprice
6,4,1733.2,413.7,Caprice
6,5,537.0,371.4,Caprice
6,6,1490.1,715.9,Caprice
6,7,558.0,672.6,Caprice
6,8,433.2,627.0,Caprice
7,1,622.8,409.7,Caprice
7,2,1381.1,355.8,Caprice
7,3,483.6,759.9,Caprice
7,4,1096.2,277.9,Caprice
7,5,495.6,782.9,Caprice
7,6,609.0,422.2,Caprice
7,7,418.7,787.4,Caprice
7,8,1724.0,400.3,Caprice
8,1,1499.3,348.1,WaferRoll
8,2,476.8,195.5,WaferRoll
8,3,611.1,357.0,WaferRoll
8,4,630.7,327.1,WaferRoll
8,5,1756.6,410.8,WaferRoll
8,6,1355.1,746.4,WaferRoll
8,7,1556.4,661.5,WaferRoll
8,8,645.3,632.6,WaferRoll
8,9,1402.2,283.3,WaferRoll
9,1,1473.2,669.8,WaferRoll
9,2,1428.0,255.6,WaferRoll
9,3,466.6,822.7,WaferRoll
9,4,1546.8,899.0,WaferRoll
9,5,660.6,858.8,WaferRoll
9,6,519.1,613.1,WaferRoll
9,7,1467.3,200.7,WaferRoll
9,8,1375.6,750.9,WaferRoll
9,9,1448.4,749.1,WaferRoll
10,1,627.7,765.0,Caprice
10,2,1822.0,371.3,Caprice
10,3,1466.1,783.5,Caprice
10,4,541.4,660.8,Caprice
10,5,1420.4,408.5,Caprice
10,6,503.0,328.0,Caprice
10,7,1705.6,395.7,Caprice
11,1,494.9,639.8,Caprice
11,2,1453.3,852.4,Caprice
11,3,1420.2,356.2,Caprice
11,4,1499.8,287.2,Caprice
11,5,1462.7,260.4,Caprice
11,6,1429.7,783.0,Caprice
11,7,1441.4,742.0,Caprice
11,8,1455.4,334.2,Caprice
12,1,1733.0,395.6,Caprice
