participant_id,fixation_id,x,y,preference
1,1,578.5,770.6,Caprice
1,2,1414.4,139.3,Caprice
1,3,1515.6,278.9,Caprice
1,4,511.4,231.6,Caprice
1,5,1400.1,365.9,Caprice
1,6,557.2,289.2,Caprice
1,7,524.5,758.6,Caprice
2,1,455.6,373.9,WaferRoll
2,2,1459.9,661.7,WaferRoll
2,3,1438.6,691.3,WaferRoll
2,4,583.3,687.1,WaferRoll
2,5,366.9,712.0,WaferRoll
2,6,794.1,354.3,WaferRoll
3,1,1416.5,264.8,Caprice
3,2,559.3,474.6,Caprice
3,3,1487.2,718.0,Caprice
3,4,460.6,399.8,Caprice
3,5,359.1,913.0,Caprice
3,6,595.4,323.9,Caprice
4,1,1423.5,156.3,Caprice
4,2,453.0,291.2,Caprice
4,3,413.5,766.3,Caprice
4,4,485.4,381.8,Caprice
4,5,1486.8,502.1,Caprice
4,6,1777.8,493.2,Caprice
4,7,520.6,331.1,Caprice
4,8,1527.8,870.9,Caprice
4,9,1175.8,308.0,Caprice
4,10,564.4,780.8,Caprice
5,1,543.8,705.5,WaferRoll
5,2,1631.5,697.9,WaferRoll
5,3,1731.7,405.4,WaferRoll
5,4,576.1,797.9,WaferRoll
5,5,607.1,310.3,WaferRoll
5,6,476.9,611.9,WaferRoll
5,7,1536.2,658.4,WaferRoll
6,1,1778.2,464.2,Caprice
6,2,1341.2,230.7,Caprice
6,3,663.8,759.6,Caprice
6,4,1702.2,444.9,Caprice
6,5,1390.9,613.9,Caprice
6,6,525.1,290.0,Caprice
6,7,1432.7,645.7,Caprice
6,8,1398.8,766.5,Caprice
6,9,635.5,760.4,Caprice
7,1,557.3,291.4,WaferRoll
7,2,602.4,277.1,WaferRoll
7,3,1531.4,189.0,WaferRoll
7,4,414.8,302.7,WaferRoll
7,5,520.6,704.0,WaferRoll
7,6,554.5,617.5,WaferRoll
7,7,1455.4,820.4,WaferRoll
7,8,1701.0,489.1,WaferRoll
7,9,1546.3,886.8,WaferRoll
7,10,1507.8,803.1,WaferRoll
8,1,553.4,313.5,WaferRoll
8,2,1288.3,239.6,WaferRoll
8,3,601.2,788.4,WaferRoll
8,4,1406.6,314.0,WaferRoll
8,5,489.4,351.7,WaferRoll
8,6,611.8,604.0,WaferRoll
8,7,555.4,661.3,WaferRoll
9,1,1615.1,299.5,WaferRoll
9,2,449.8,298.1,WaferRoll
9,3,519.5,799.9,WaferRoll
